MovieID,Movie_Title,Avg_Rating,Total_Ratings
2228,"Mountain Eagle, The",3.9499999284744263,6
954,Mr. Smith Goes to Washington,3.942857129233224,7
1769,"Replacement Killers, The",3.9166667064030967,6
2351,Nights of Cabiria (Le Notti di Cabiria),3.8375000059604645,8
2817,Aces: Iron Eagle III,3.766666611035665,6
3630,"House of Exorcism, The (La Casa dell'esorcismo)",3.6833333174387612,6
734,Getting Away With Murder,3.6428571258272444,7
316,Stargate,3.6333332856496177,6
2950,"Blue Lagoon, The",3.6166666547457376,6
953,It's a Wonderful Life,3.6000000068119595,7
2187,Stage Fright,3.599999984105428,6
1415,"Thieves (Voleurs, Les)",3.599999931123522,9
727,War Stories,3.585714272090367,7
1680,Sliding Doors,3.5833333333333335,6
519,Robocop 3,3.5666666825612388,6
173,Judge Dredd,3.5666666825612388,6
1975,Friday the 13th Part 2,3.5428571019853865,7
2189,I Married A Strange Person,3.500000034059797,7
2332,Belly,3.500000019868215,6
2121,Cujo,3.4999999602635703,6
705,Cosi,3.4666666984558105,6
1261,Evil Dead II (Dead By Dawn),3.4666666984558105,6
2934,"Love Bewitched, A (El Amor Brujo)",3.449999968210856,6
3213,Batman: Mask of the Phantasm,3.44285706111363,7
2014,Freaky Friday,3.4285713774817332,7
839,"Crow: City of Angels, The",3.4166667461395264,6
636,Frisk,3.4166666865348816,6
32,Twelve Monkeys,3.3999999931880405,7
2256,Parasite,3.399999976158142,6
1014,Pollyanna,3.383333384990692,6
2884,Dog Park,3.349999964237213,6
2131,Autumn Sonata (Höstsonaten ),3.3499999046325684,6
1654,FairyTale: A True Story,3.333333373069763,6
3668,Romeo and Juliet,3.333333353201548,6
3796,"Wisdom of Crocodiles, The (a.k.a. Immortality)",3.3333333134651184,6
206,Unzipped,3.3333333134651184,6
1489,Cats Don't Dance,3.3333332935969033,6
2109,"Jerk, The",3.328571387699672,7
2867,Fright Night,3.3166666626930237,6
1228,Raging Bull,3.3166666428248086,6
338,Virtuosity,3.3000000374657765,7
1911,Doctor Dolittle,3.299999992052714,6
3635,"Spy Who Loved Me, The",3.283333341280619,6
2803,"Pelican Brief, The",3.2833332618077598,6
2539,Analyze This,3.2714286191122874,7
845,"Day the Sun Turned Cold, The (Tianguo niezi)",3.2666666507720947,6
1287,Ben-Hur,3.2666665514310202,6
2983,"Ipcress File, The",3.2625000029802322,8
1124,On Golden Pond,3.2571428333009993,7
2720,Inspector Gadget,3.2428571496691023,7
3848,Silent Fall,3.2428571496691023,7
3594,Center Stage,3.233333388964335,6
2083,"Muppet Christmas Carol, The",3.2333333492279053,6
281,Nobody's Fool,3.23333332935969,6
3393,Date with an Angel,3.228571449007307,7
3726,Assault on Precinct 13,3.216666658719381,6
2814,"Bat, The",3.216666658719381,6
216,Billy Madison,3.214285748345511,7
3856,Autumn Heart,3.2125000208616257,8
3625,Better Living Through Circuitry,3.199999979564122,7
1507,Paradise Road,3.150000015894572,6
1728,"Winter Guest, The",3.1500000059604645,8
1368,"Forbidden Christ, The (Cristo proibito, Il)",3.149999976158142,6
2407,Cocoon,3.142857142857143,7
1890,Little Boy Blue,3.1333333452542624,6
476,"Inkwell, The",3.1333333452542624,6
688,Operation Dumbo Drop,3.1333333253860474,6
3559,Limelight,3.128571425165449,7
3056,Oxygen,3.1166666547457376,6
2218,Juno and Paycock,3.100000023841858,7
3874,"Couch in New York, A",3.100000003973643,6
3859,"Eyes of Tammy Faye, The",3.0833333333333335,6
1115,Sleepover,3.0714286054883684,7
623,"Modern Affair, A",3.057142836706979,7
99,Heidi Fleiss: Hollywood Madam,3.0500000715255737,6
2275,Six-String Samurai,3.050000031789144,6
1340,Bride of Frankenstein,3.033333341280619,6
943,"Ghost and Mrs. Muir, The",3.0333333214124045,6
2471,Crocodile Dundee II,3.0333333214124045,6
252,I.Q.,3.0166667103767395,6
2549,Wing Commander,3.0166666309038797,6
3581,Human Traffic,3.014285683631897,7
1663,Stripes,3.000000019868215,6
3183,"Third Miracle, The",2.999999980131785,6
961,Little Lord Fauntleroy,2.9999999403953552,6
3230,"Odessa File, The",2.9857142652784074,7
706,Sunset Park,2.9749999940395355,8
7,Sabrina,2.971428496497018,7
2858,American Beauty,2.9666666984558105,6
2905,Sanjuro,2.966666658719381,6
1364,Zero Kelvin (Kjærlighetens kjøtere),2.966666658719381,6
2345,Desert Bloom,2.9666666388511658,6
311,Relative Fear,2.9666666189829507,6
1100,Days of Thunder,2.9500000178813934,8
2171,"Next Stop, Wonderland",2.950000007947286,6
1912,Out of Sight,2.950000007947286,6
2068,Fanny and Alexander,2.9333332975705466,6
33,Wings of Courage,2.9166666865348816,6
3186,"Girl, Interrupted",2.9166666865348816,6
1963,Take the Money and Run,2.916666626930237,6
1727,"Horse Whisperer, The",2.916666626930237,6
1957,Chariots of Fire,2.9142856938498363,7
2681,Free Enterprise,2.9000000783375333,7
26,Othello,2.900000015894572,6
81,Things to Do in Denver when You're Dead,2.899999996026357,6
1024,"Three Caballeros, The",2.899999961256981,8
1280,Raise the Red Lantern,2.8857142414365495,7
2481,My Name Is Joe,2.8749999403953552,8
3291,Trois,2.8666667143503823,6
2229,"Pleasure Garden, The",2.8666666944821677,6
1147,When We Were Kings,2.8666666944821677,6
1989,Prom Night III: The Last Kiss,2.8666666547457376,6
3286,Snow Day,2.850000003973643,6
2425,"General, The",2.849999984105428,6
1947,West Side Story,2.828571387699672,7
3526,Parenthood,2.827272751114585,11
2363,Godzilla (Gojira),2.8142856870378767,7
1061,Sleepers,2.8000000034059798,7
1212,"Third Man, The",2.7999999721844993,6
948,Giant,2.7999999721844993,6
2385,Home Fries,2.7999999721844993,6
3109,"River, The",2.7833333810170493,6
451,Flesh and Bone,2.7833333611488342,6
2397,Mass Appeal,2.7666667103767395,6
2389,Psycho,2.766666611035665,6
1894,Six Days Seven Nights,2.757142867360796,7
1021,Angels in the Outfield,2.7500000596046448,6
801,Harriet the Spy,2.75,6
3102,Jagged Edge,2.73333332935969,6
1546,Schizopolis,2.7285714660372054,7
2525,Alligator,2.7285714149475098,7
657,Yankee Zulu,2.7166666785875955,6
2500,Jawbreaker,2.714285680225917,7
773,Touki Bouki (Journey of the Hyena),2.7125000208616257,8
1160,Six of a Kind,2.700000047683716,6
2777,Cobra,2.700000007947286,6
1986,Halloween 5: The Revenge of Michael Myers,2.700000007947286,6
2288,"Thing, The",2.6874999552965164,8
1711,Midnight in the Garden of Good and Evil,2.685714295932225,7
248,Houseguest,2.6857142448425293,7
2962,Fever Pitch,2.6833333373069763,6
804,She's the One,2.6714285612106323,7
3403,Raise the Titanic,2.6666666666666665,6
2198,Modulations,2.6625000536441803,8
719,Multiplicity,2.6333332856496177,6
538,Six Degrees of Separation,2.6166666746139526,6
299,Priest,2.6166666547457376,6
1180,Hear My Song,2.614285741533552,7
716,Switchblade Sisters,2.600000023841858,6
196,Species,2.583333353201548,6
509,"Piano, The",2.5749999582767487,8
2686,"Red Violin, The (Le Violon rouge)",2.5666666825612388,6
1872,Go Now,2.562499985098839,8
2691,"Legend of 1900, The (Leggenda del pianista sull'oceano)",2.5428571360451833,7
554,Trial by Jury,2.5400000333786013,10
399,Girl in the Cadillac,2.5333333015441895,6
945,Top Hat,2.500000019868215,6
2179,Topaz,2.500000019868215,6
1057,Everyone Says I Love You,2.4666667183240256,6
3701,Alien Nation,2.4333333174387612,6
868,Death in Brunswick,2.4142857449395314,7
941,"Mark of Zorro, The",2.3999999591282437,7
3455,Buddy Boy,2.399999956289927,6
1475,Kama Sutra: A Tale of Love,2.3833333452542624,6
548,Terminal Velocity,2.3624999821186066,8
3086,March of the Wooden Soldiers (a.k.a. Laurel & Hardy in Toyland),2.350000003973643,6
