RatingID,UserID,MovieID,Rating,Timestamp
1,SF_2741,3713,4.1,2024-02-01 04:32:50
2,SF_3082,2052,3.1,2024-02-24 04:32:50
3,SF_53,3267,4.0,2024-11-12 04:32:50
4,SF_182,2517,2.4,2024-09-28 04:32:50
5,SF_631,2996,3.1,2024-10-04 04:32:50
6,SF_2261,1184,3.9,2024-05-28 04:32:50
7,SF_1291,2425,2.8,2023-12-24 04:32:50
8,SF_5002,3326,4.5,2024-03-05 04:32:50
9,SF_693,1375,1.9,2024-12-05 04:32:50
10,SF_3684,1987,3.2,2024-07-16 04:32:50
11,SF_1503,127,4.6,2024-01-22 04:32:50
12,SF_1907,1138,1.2,2024-02-04 04:32:50
13,SF_3649,734,4.6,2024-11-26 04:32:50
14,SF_4824,309,2.4,2024-02-24 04:32:50
15,SF_2147,2493,2.7,2024-09-21 04:32:50
16,SF_2215,2912,2.0,2024-04-23 04:32:50
17,SF_6005,2983,2.8,2024-04-11 04:32:50
18,SF_601,2720,2.7,2024-07-11 04:32:50
19,SF_841,2955,4.1,2024-08-25 04:32:50
20,SF_1504,2351,2.7,2024-12-03 04:32:50
21,SF_3288,2853,4.8,2024-02-06 04:32:50
22,SF_1839,1509,2.0,2024-06-28 04:32:50
23,SF_5276,1938,3.0,2024-10-12 04:32:50
24,SF_5097,3635,4.0,2024-04-16 04:32:50
25,SF_363,22,2.4,2024-08-07 04:32:50
26,SF_2617,1029,3.7,2024-02-28 04:32:50
27,SF_2919,1493,2.8,2024-06-10 04:32:50
28,SF_2814,3611,4.5,2024-06-15 04:32:50
29,SF_6003,1516,1.4,2024-02-06 04:32:50
30,SF_1217,2344,1.8,2024-04-23 04:32:50
31,SF_3810,1811,1.9,2024-10-22 04:32:50
32,SF_824,1103,2.7,2024-03-13 04:32:50
33,SF_3607,3444,4.1,2024-03-20 04:32:50
34,SF_2407,3915,1.4,2023-12-20 04:32:50
35,SF_4940,3056,1.6,2024-01-29 04:32:50
36,SF_4687,621,3.5,2024-02-09 04:32:50
37,SF_5658,1830,3.9,2023-12-18 04:32:50
38,SF_1057,2495,3.7,2024-02-11 04:32:50
39,SF_3111,2700,5.0,2024-11-30 04:32:50
40,SF_4739,1279,4.8,2024-11-19 04:32:50
41,SF_3584,549,4.5,2024-02-18 04:32:50
42,SF_2134,2970,1.8,2024-04-13 04:32:50
43,SF_2947,705,3.0,2024-01-16 04:32:50
44,SF_1438,2216,1.8,2024-06-03 04:32:50
45,SF_908,3810,2.1,2024-01-21 04:32:50
46,SF_2324,1921,1.9,2024-09-02 04:32:50
47,SF_3982,2169,4.4,2024-05-13 04:32:50
48,SF_3232,1300,3.7,2024-08-26 04:32:50
49,SF_4139,3420,2.7,2024-01-24 04:32:50
50,SF_433,1939,3.9,2024-09-25 04:32:50
51,SF_1415,3626,4.1,2024-10-26 04:32:50
52,SF_4205,3446,1.4,2024-03-25 04:32:50
53,SF_3989,2322,4.3,2024-06-27 04:32:50
